scenario_name,trials_per_cell,parameter,lower_bound,upper_bound,n_at_lower,n_at_upper,n_simulations,min_estimate,max_estimate
S05_new_moderateVar,30,sigma_t0_t0var_s,0.0001,0.06,16,0,25,0.0001,0.01789443831724394
S06_new_strongVar,10,C_old,0.01,200.0,0,0,25,29.014904630508813,43.51015018287976
S06_new_strongVar,10,K_old,0.5,6.0,0,0,25,3.518524387452414,3.901479279167581
S06_new_strongVar,10,t0_old_s,0.0,0.15,0,0,25,0.012462035922178089,0.0199999999974345
S06_new_strongVar,10,C_new,0.01,200.0,0,0,25,31.10513027780459,58.23002549645301
S06_new_strongVar,10,K_new,0.5,6.0,0,0,25,3.4690538909536524,3.783958768158128
S06_new_strongVar,10,t0_new_s,0.0,0.15,0,0,25,0.01363582155360122,0.0251618241339141
S06_new_strongVar,10,cv_C_new,0.0001,2.0,1,0,25,0.0001,0.6630585134116305
S06_new_strongVar,10,C_t0var,0.01,200.0,0,0,25,29.014819883898454,45.621756920839715
S06_new_strongVar,10,K_t0var,0.5,6.0,0,0,25,3.518037699263631,3.8580445768823424
S06_new_strongVar,10,t0_t0var_s,0.0,0.15,0,0,25,0.012159658159116982,0.026557735190234216
S06_new_strongVar,10,sigma_t0_t0var_s,0.0001,0.06,13,0,25,0.0001,0.0317825205032045
S06_new_strongVar,30,C_old,0.01,200.0,0,0,25,31.671882824319606,39.0096799000337
S06_new_strongVar,30,K_old,0.5,6.0,0,0,25,3.495206300934495,3.7959568495195533
S06_new_strongVar,30,t0_old_s,0.0,0.15,0,0,25,0.01271056773158497,0.018848353350695974
S06_new_strongVar,30,C_new,0.01,200.0,0,0,25,37.325992433150546,46.605574744658774
S06_new_strongVar,30,K_new,0.5,6.0,0,0,25,3.4537757505005198,3.7232272422565975
S06_new_strongVar,30,t0_new_s,0.0,0.15,0,0,25,0.016305456073223902,0.019244740265562124
S06_new_strongVar,30,cv_C_new,0.0001,2.0,0,0,25,0.28360390110384803,0.5499112651987059
S06_new_strongVar,30,C_t0var,0.01,200.0,0,0,25,31.51973025479994,39.00947974835625
S06_new_strongVar,30,K_t0var,0.5,6.0,0,0,25,3.4940429697044277,3.795958129721323
S06_new_strongVar,30,t0_t0var_s,0.0,0.15,0,0,25,0.012329884219842262,0.01884805398321075
S06_new_strongVar,30,sigma_t0_t0var_s,0.0001,0.06,12,0,25,0.0001,0.01177137632930111
S07_t0var_moderate,30,C_old,0.01,200.0,0,0,25,36.01674249614238,43.36284143096923
S07_t0var_moderate,30,K_old,0.5,6.0,0,0,25,3.5221322938388306,3.754909044501668
S07_t0var_moderate,30,t0_old_s,0.0,0.15,0,0,25,0.011470050563799374,0.01840242162740276
S07_t0var_moderate,30,C_new,0.01,200.0,0,0,25,36.227219290186305,43.850051607814635
S07_t0var_moderate,30,K_new,0.5,6.0,0,0,25,3.519606333761458,3.7549092023999138
S07_t0var_moderate,30,t0_new_s,0.0,0.15,0,0,25,0.011470058950976051,0.018402425760729008
S07_t0var_moderate,30,cv_C_new,0.0001,2.0,13,0,25,0.0001,0.33567232548824305
S07_t0var_moderate,30,C_t0var,0.01,200.0,0,0,25,36.01667803550123,47.16367122406843
S07_t0var_moderate,30,K_t0var,0.5,6.0,0,0,25,3.5131728527317008,3.7502253935631753
S07_t0var_moderate,30,t0_t0var_s,0.0,0.15,0,0,25,0.011470087141351153,0.023735473584921313
S07_t0var_moderate,30,sigma_t0_t0var_s,0.0001,0.06,6,0,25,0.0001,0.01889710036108558
S08_t0var_strong,10,C_old,0.01,200.0,0,0,25,32.05385330234948,43.849355049789985
S08_t0var_strong,10,K_old,0.5,6.0,0,0,25,3.4414734886193235,3.8881200164425898
S08_t0var_strong,10,t0_old_s,0.0,0.15,0,0,25,0.004759105007774536,0.018880272839498013
S08_t0var_strong,10,C_new,0.01,200.0,0,0,25,32.426244437007114,49.654713841493034
S08_t0var_strong,10,K_new,0.5,6.0,0,0,25,3.418727208079304,3.8881198401335295
S08_t0var_strong,10,t0_new_s,0.0,0.15,0,0,25,0.004864111220108622,0.019088600180465584
S08_t0var_strong,10,cv_C_new,0.0001,2.0,15,0,25,0.0001,0.6459889161238676
S08_t0var_strong,10,C_t0var,0.01,200.0,0,0,25,34.754640472511596,58.39229536953041
S08_t0var_strong,10,K_t0var,0.5,6.0,0,0,25,3.3961892567071343,3.833415550983969
S08_t0var_strong,10,t0_t0var_s,0.0,0.15,0,0,25,0.008689341835665792,0.03275471916797334
S08_t0var_strong,10,sigma_t0_t0var_s,0.0001,0.06,1,0,25,0.0001,0.035967149444123304
S08_t0var_strong,30,C_old,0.01,200.0,0,0,25,34.40510949290305,40.810336114844816
S08_t0var_strong,30,K_old,0.5,6.0,0,0,25,3.545036567679416,3.767558468711478
S08_t0var_strong,30,t0_old_s,0.0,0.15,0,0,25,0.008087064992062139,0.015400403276214966
S08_t0var_strong,30,C_new,0.01,200.0,0,0,25,35.798084482326246,46.37324492298974
S08_t0var_strong,30,K_new,0.5,6.0,0,0,25,3.504779512342522,3.721270566655278
S08_t0var_strong,30,t0_new_s,0.0,0.15,0,0,25,0.008351795425301824,0.016060789934556816
S08_t0var_strong,30,cv_C_new,0.0001,2.0,3,0,25,0.0001,0.519147569382816
S08_t0var_strong,30,C_t0var,0.01,200.0,0,0,25,38.057685345903074,48.933186722399576
S08_t0var_strong,30,K_t0var,0.5,6.0,0,0,25,3.4924940516389635,3.723396627943035
S08_t0var_strong,30,t0_t0var_s,0.0,0.15,0,0,25,0.011428772439063654,0.023768430149520767
S08_t0var_strong,30,sigma_t0_t0var_s,0.0001,0.06,0,0,25,0.014067431107823346,0.03074304304420678
