simulation_id,scenario_name,truth_model,speed_dist,trials_per_cell,true_C,true_K,true_t0_s,true_t0_ms,true_cv_C,true_sigma_t0_s,true_sigma_t0_ms,C_old,K_old,t0_old_s,t0_old_ms,loglik_old,nll_old,aic_old,bic_old,old_success,old_optimizer_message,old_n_starts,old_n_failed_starts,old_condition_rmse,C_new,K_new,t0_new_s,t0_new_ms,cv_C_new,loglik_new,nll_new,aic_new,bic_new,new_success,new_optimizer_message,new_n_starts,new_n_failed_starts,new_condition_rmse,C_t0var,K_t0var,t0_t0var_s,t0_t0var_ms,sigma_t0_t0var_s,sigma_t0_t0var_ms,loglik_t0var,nll_t0var,aic_t0var,bic_t0var,t0var_success,t0var_optimizer_message,t0var_n_starts,t0var_n_failed_starts,t0var_condition_rmse,delta_loglik_new_minus_old,delta_aic_new_minus_old,delta_bic_new_minus_old,delta_condition_rmse_new_minus_old,winner_aic_new_vs_old,winner_bic_new_vs_old,winner_condition_rmse_new_vs_old,delta_loglik_t0var_minus_old,delta_aic_t0var_minus_old,delta_bic_t0var_minus_old,delta_condition_rmse_t0var_minus_old,winner_aic_t0var_vs_old,winner_bic_t0var_vs_old,winner_condition_rmse_t0var_vs_old,delta_loglik_new_minus_t0var,delta_aic_new_minus_t0var,delta_bic_new_minus_t0var,delta_condition_rmse_new_minus_t0var,winner_aic_new_vs_t0var,winner_bic_new_vs_t0var,winner_condition_rmse_new_vs_t0var,winner_aic_3way,winner_bic_3way,winner_condition_rmse_3way,n_trials_used,n_cells_used,fit_seconds,replication_id,unit_seed,run_block
252,S06_new_strongVar,new,gamma,10,42.0,3.6,0.018,18.0,0.45,0.0,0.0,34.18165153771443,3.626706324381076,0.014121258938391959,14.121258938391959,-163.37088071288954,163.37088071288954,332.7417614257791,341.566688693607,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,0,0.23770019405760281,40.037542714263175,3.570809472388233,0.015995295932997144,15.995295932997145,0.40024848924515477,-161.21499711889,161.21499711889,330.42999423778,342.19656392821724,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0,0.21324246340690636,34.18151334808485,3.6267071066718963,0.014120968422558652,14.120968422558652,0.0001,0.1,-163.3709335581149,163.3709335581149,334.7418671162298,346.508436806667,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0,0.2376999575878903,2.1558835939995333,-2.3117671879990667,0.6298752346102674,-0.024457730650696452,new,old,new,-5.284522535475844e-05,2.0001056904507095,4.941748113060044,-2.364697125056825e-07,old,old,t0var,2.155936439224888,-4.311872878449776,-4.311872878449776,-0.024457494180983946,new,new,new,new,old,new,140,45,23.042198419570923,2,1815389063,reduced
253,S06_new_strongVar,new,gamma,10,42.0,3.6,0.018,18.0,0.45,0.0,0.0,29.34578172875518,3.901479279167581,0.018235321395223013,18.235321395223014,-161.86941537793274,161.86941537793274,329.7388307558655,338.56375802369337,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,0,0.21819310651101428,35.21582715637067,3.7367072482174652,0.018777484044262615,18.777484044262614,0.5212770875255883,-159.45511023362303,159.45511023362303,326.91022046724606,338.6767901576833,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0,0.2463700465656695,33.14196148933118,3.8217678274373394,0.026557735190234216,26.557735190234215,0.02796769937772827,27.96769937772827,-161.02223234664922,161.02223234664922,330.04446469329844,341.81103438373566,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0,0.24282050164371272,2.414305144309708,-2.8286102886194158,0.1130321339899183,0.02817694005465521,new,old,old,0.8471830312835209,0.3056339374329582,3.2472763600422923,0.024627395132698432,old,old,old,1.567122113026187,-3.134244226052374,-3.134244226052374,0.0035495449219567765,new,new,t0var,new,old,old,140,47,31.530941247940063,3,1434554516,reduced
254,S06_new_strongVar,new,gamma,10,42.0,3.6,0.018,18.0,0.45,0.0,0.0,29.149033479860925,3.6908170058380767,0.012771528904969224,12.771528904969223,-163.49978323552182,163.49978323552182,332.99956647104364,341.8244937388715,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,0,0.17065048803402208,31.10513027780459,3.6422091145301794,0.01363582155360122,13.63582155360122,0.27597975928294405,-163.2180526759235,163.2180526759235,334.436105351847,346.2026750422842,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0,0.17134077728717037,30.663972799204934,3.661381520891841,0.01602341918801163,16.02341918801163,0.017630037496808353,17.630037496808352,-162.41999936794855,162.41999936794855,332.8399987358971,344.6065684263343,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0,0.17819925385550667,0.2817305595983157,1.4365388808033686,4.378181303412703,0.0006902892531482907,old,old,old,1.0797838675732692,-0.15956773514653833,2.7820746874627957,0.007548765821484588,t0var,old,old,-0.7980533079749534,1.5961066159499069,1.5961066159499069,-0.006858476568336297,t0var,t0var,new,t0var,old,old,140,47,44.5304536819458,4,3769511244,reduced
255,S06_new_strongVar,new,gamma,10,42.0,3.6,0.018,18.0,0.45,0.0,0.0,39.196005267671836,3.6996745730316407,0.01652463636101535,16.524636361015347,-176.32133877316355,176.32133877316355,358.6426775463271,367.467604814155,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,0,0.3631480342230685,58.23002549645301,3.58483208176282,0.018452131527205737,18.452131527205736,0.6630585134116305,-166.23644295609432,166.23644295609432,340.47288591218864,352.23945560262587,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0,0.32159408509568177,39.54460820194265,3.69211580412158,0.01692358383099323,16.92358383099323,0.013639191305962518,13.639191305962518,-176.16437265619487,176.16437265619487,360.32874531238974,372.09531500282696,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0,0.3700206610706513,10.084895817069224,-18.16979163413845,-15.228149211529114,-0.04155394912738675,new,new,new,0.15696611696867535,1.6860677660626493,4.627710188671983,0.0068726268475827745,old,old,old,9.927929700100549,-19.855859400201098,-19.855859400201098,-0.04842657597496952,new,new,new,new,new,new,140,48,43.72793459892273,5,13977115,reduced
256,S06_new_strongVar,new,gamma,10,42.0,3.6,0.018,18.0,0.45,0.0,0.0,33.86698536530647,3.596353035707397,0.014468813374131423,14.468813374131422,-168.15816210427445,168.15816210427445,342.3163242085489,351.1412514763768,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,0,0.2836964499052145,41.48537926575843,3.525762833979161,0.016389191475797236,16.389191475797237,0.48429947536262047,-165.14595511207457,165.14595511207457,338.29191022414915,350.05847991458637,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0,0.2637723249508413,34.95970578543648,3.5808550349303476,0.016191775363609155,16.191775363609157,0.016883641231759557,16.883641231759558,-166.88767403123438,166.88767403123438,341.77534806246877,353.541917752906,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0,0.2913745096407964,3.0122069921998786,-4.024413984399757,-1.0827715617904232,-0.01992412495437318,new,new,new,1.2704880730400703,-0.5409761460801406,2.4006662765291935,0.0076780597355819435,t0var,old,old,1.7417189191598084,-3.4834378383196167,-3.4834378383196167,-0.027602184689955123,new,new,new,new,new,new,140,49,47.312758922576904,6,375402272,reduced
257,S06_new_strongVar,new,gamma,10,42.0,3.6,0.018,18.0,0.45,0.0,0.0,43.51015018287976,3.518524387452414,0.0199999999974345,19.9999999974345,-146.99436513982783,146.99436513982783,299.98873027965567,308.81365754748356,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,0,0.2519890290880443,56.51831168120094,3.4690538909536524,0.0251618241339141,25.161824133914102,0.4540088171570489,-145.26192321950617,145.26192321950617,298.52384643901235,310.29041612944957,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0,0.24490998184949211,43.62735904163832,3.518037699263631,0.020158222983326184,20.158222983326183,0.0001,0.1,-147.00239580766427,147.00239580766427,302.00479161532854,313.77136130576577,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0,0.25188138023126316,1.732441920321662,-1.4648838406433242,1.4767585819660098,-0.007079047238552211,new,old,new,-0.008030667836436578,2.016061335672873,4.957703758282207,-0.00010764885678116176,old,old,t0var,1.7404725881580987,-3.4809451763161974,-3.4809451763161974,-0.006971398381771049,new,new,new,new,old,new,140,44,38.46567702293396,7,2028936026,reduced
258,S06_new_strongVar,new,gamma,10,42.0,3.6,0.018,18.0,0.45,0.0,0.0,43.43553898609037,3.6397261632679414,0.0199999998791858,19.9999998791858,-144.07951590053034,144.07951590053034,294.1590318010607,302.98395906888857,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,0,0.2489453068344054,48.797417471581625,3.6077582647379507,0.021534402795694515,21.534402795694515,0.315493389604959,-143.26787300888654,143.26787300888654,294.5357460177731,306.3023157082103,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0,0.24655178950908177,43.51299902014671,3.6393581440509313,0.02011289719818199,20.11289719818199,0.0001,0.1,-144.09478726177952,144.09478726177952,296.18957452355903,307.95614421399625,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0,0.24897309237806492,0.8116428916437997,0.3767142167124007,3.3183566393217347,-0.002393517325323641,old,old,new,-0.015271361249176607,2.030542722498353,4.972185145107687,2.7785543659508694e-05,old,old,old,0.8269142528929763,-1.6538285057859525,-1.6538285057859525,-0.0024213028689831495,new,new,new,old,old,new,140,42,40.89387774467468,8,2079128458,reduced
259,S06_new_strongVar,new,gamma,10,42.0,3.6,0.018,18.0,0.45,0.0,0.0,34.76706534329319,3.795931830396788,0.016766517831654774,16.766517831654774,-162.46910116559388,162.46910116559388,330.93820233118777,339.76312959901566,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,0,0.3560606798426154,41.79234243913262,3.7084784004513156,0.01784900008538643,17.849000085386432,0.46241134398435074,-159.14627016110953,159.14627016110953,326.29254032221905,338.0591100126563,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0,0.34834738693248346,34.766912970143714,3.7959330260017055,0.016766215795083594,16.766215795083593,0.0001,0.1,-162.46914670658913,162.46914670658913,332.93829341317826,344.7048631036155,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0,0.35606090402935636,3.3228310044843568,-4.6456620089687135,-1.7040195863593794,-0.0077132929101319525,new,new,new,-4.554099524511912e-05,2.0000910819904902,4.941733504599824,2.2418674094915048e-07,old,old,old,3.322876545479602,-6.645753090959204,-6.645753090959204,-0.007713517096872902,new,new,new,new,new,new,140,43,26.83256435394287,9,3676418010,reduced
260,S06_new_strongVar,new,gamma,10,42.0,3.6,0.018,18.0,0.45,0.0,0.0,32.045503280014586,3.7520808302254243,0.01584482761186184,15.844827611861842,-166.1016166822191,166.1016166822191,338.2032333644382,347.02816063226607,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,0,0.23301451355576022,38.538428778046274,3.6568102343109716,0.0172792904138205,17.2792904138205,0.47917506864549636,-163.55195142724267,163.55195142724267,335.10390285448534,346.87047254492256,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0,0.2415751949950565,31.998958729158943,3.7523799096112853,0.01573830193048302,15.73830193048302,0.0020919274684284618,2.091927468428462,-166.09725660468058,166.09725660468058,340.19451320936116,351.9610828997984,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0,0.2327933091146102,2.549665254976418,-3.0993305099528357,-0.1576880873435016,0.00856068143929628,new,new,old,0.004360077538507312,1.9912798449229854,4.932922267532319,-0.0002212044411500358,old,old,t0var,2.5453051774379105,-5.090610354875821,-5.090610354875821,0.008781885880446316,new,new,t0var,new,new,t0var,140,48,38.0905659198761,10,2066857349,reduced
261,S06_new_strongVar,new,gamma,10,42.0,3.6,0.018,18.0,0.45,0.0,0.0,29.014904630508813,3.686509345772311,0.014506323559211259,14.506323559211259,-164.95181803478454,164.95181803478454,335.9036360695691,344.72856333739696,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33,0,0.23755796096162185,32.28363378312762,3.624266387727628,0.01566493810322044,15.66493810322044,0.3588009272298777,-163.90567731513622,163.90567731513622,335.81135463027243,347.57792432070966,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,107,0,0.21530240712961518,29.014819883898454,3.686510027675406,0.014506082221662785,14.506082221662785,0.0001,0.1,-164.95184386707615,164.95184386707615,337.9036877341523,349.6702574245895,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,0,0.2375582276114549,1.0461407196483208,-0.09228143929664157,2.8493609833126925,-0.02225555383200667,new,old,new,-2.5832291612459812e-05,2.000051664583225,4.941694087192559,2.6664983304725e-07,old,old,old,1.0461665519399332,-2.0923331038798665,-2.0923331038798665,-0.022255820481839717,new,new,new,new,old,new,140,48,36.88805317878723,11,3031395725,reduced
