display_size,exposure_ms,variability_type,kl_from_fixed_per_trial,mean_score_variability_model,mean_score_fixed_model,var_score_variability_model,var_score_fixed_model
6,80,speed_cv_0.45,0.02088834855427601,1.9366292647019736,2.039799948422084,1.3519969517065888,1.1081321150064616
6,80,t0_sigma_10ms,0.0004911454555743457,2.025611548917632,2.039799948422084,1.1456890041170205,1.1081321150064616
6,80,t0_sigma_20ms,0.008319639386180654,1.9839672583253494,2.039799948422084,1.2649540225420601,1.1081321150064616
6,120,speed_cv_0.15,0.0006754787387004415,2.7560113415196947,2.77958123370447,0.9062826988925554,0.8629295470762459
6,120,speed_cv_0.3,0.009496042081720744,2.6894180713781672,2.77958123370447,1.0291039420687227,0.8629295470762459
6,120,speed_cv_0.45,0.03987854838119457,2.589715225440933,2.77958123370447,1.2114177887696833,0.8629295470762459
6,120,t0_sigma_10ms,0.00013107824117135014,2.7693487716827665,2.77958123370447,0.8819871289899126,0.8629295470762459
6,120,t0_sigma_20ms,0.002193547070264918,2.738650877915588,2.77958123370447,0.942506507726458,0.8629295470762459
6,180,speed_cv_0.15,0.0012589902481575897,3.289999079443768,3.316502831707827,0.5003985706741023,0.46172156670438724
6,180,speed_cv_0.3,0.0177190714957332,3.213599337855419,3.316502831707827,0.6204584264906856,0.46172156670438724
6,180,speed_cv_0.45,0.0740648478631949,3.0961154707840493,3.316502831707827,0.8216780143238491,0.46172156670438724
6,180,t0_sigma_10ms,3.817264414351907e-05,3.3119490065916017,3.316502831707827,0.4682690245027672,0.46172156670438724
6,180,t0_sigma_20ms,0.000630679983284089,3.298034249543969,3.316502831707827,0.4890214953519081,0.46172156670438724
6,260,speed_cv_0.15,0.0012940164250961495,3.5227510795649506,3.538445375997553,0.2945340221839263,0.27794606536010846
6,260,speed_cv_0.3,0.02112407451677939,3.4711528989354266,3.538445375997553,0.36050524933473405,0.27794606536010846
6,260,speed_cv_0.45,0.0994003901006371,3.378125263863172,3.538445375997553,0.507482033794254,0.27794606536010846
6,260,t0_sigma_10ms,7.3333231314154975e-06,3.5372842607381365,3.538445375997553,0.2791057297794275,0.27794606536010846
6,260,t0_sigma_20ms,0.00012318212877241537,3.533691412446654,3.538445375997553,0.2827998999017396,0.27794606536010846
4,20,speed_cv_0.15,6.520916414687344e-07,0.08310463042107681,0.08312406712389751,0.08149160397676475,0.08139622620187821
4,20,speed_cv_0.3,1.016280156192425e-05,0.08304638830597477,0.08312406712389751,0.08177650425582515,0.08139622620187821
4,20,speed_cv_0.45,4.9343863176314617e-05,0.08294954275880988,0.08312406712389751,0.08224724962613542,0.08139622620187821
4,20,t0_sigma_10ms,0.07189492809210114,0.19676011509569377,0.08312406712389751,0.23349163307118348,0.08139622620187821
4,20,t0_sigma_20ms,0.2675316009448281,0.33312361973659665,0.08312406712389751,0.44253492144473916,0.08139622620187821
4,40,speed_cv_0.15,6.387803433631435e-05,0.8223466296227712,0.8243181592377034,0.6584912430062709,0.6509947663178343
4,40,speed_cv_0.3,0.0009563147497998209,0.8164917875429528,0.8243181592377034,0.680047081204972,0.6509947663178343
4,40,speed_cv_0.45,0.004361327836326283,0.8069325297930564,0.8243181592377034,0.7130934556495304,0.6509947663178343
4,40,t0_sigma_10ms,0.005125882839028087,0.8083182160692673,0.8243181592377034,0.7201040942142476,0.6509947663178343
4,40,t0_sigma_20ms,0.0394691571918375,0.8126346856049417,0.8243181592377034,0.8747612370189065,0.6509947663178343
4,60,speed_cv_0.15,0.00018694304122721496,1.4139120724680887,1.4199604161246704,0.9087797299893765,0.8908854279670351
4,60,speed_cv_0.3,0.0027255719120166952,1.3961583369292214,1.4199604161246704,0.9592844883034037,0.8908854279670351
4,60,speed_cv_0.45,0.01197339133223559,1.367823570715227,1.4199604161246704,1.0340456996370275,0.8908854279670351
4,60,t0_sigma_10ms,0.0012571849643194057,1.4046313132289034,1.4199604161246704,0.937619957037866,0.8908854279670351
4,60,t0_sigma_20ms,0.01931060310465318,1.3640439307636811,1.4199604161246704,1.0769874082715067,0.8908854279670351
4,80,speed_cv_0.15,0.0003315417982096534,1.8820966840803954,1.892938752860674,0.9578662293084768,0.9312014377230304
4,80,speed_cv_0.3,0.004765343501624511,1.8506419588898897,1.892938752860674,1.032936001677732,0.9312014377230304
4,80,speed_cv_0.45,0.02054445849893377,1.8014760985396339,1.892938752860674,1.1434520384427915,0.9312014377230304
4,80,t0_sigma_10ms,0.00047158305824204967,1.8802819193946811,1.892938752860674,0.9631277711923838,0.9312014377230304
4,80,t0_sigma_20ms,0.008103067318856965,1.842385142104226,1.892938752860674,1.0655777576809555,0.9312014377230304
4,120,speed_cv_0.15,0.0006354406516521965,2.536056040549704,2.5546571217471925,0.8021160270234686,0.7653640644002229
4,120,speed_cv_0.3,0.009061492349312803,2.482709885858625,2.5546571217471925,0.9075507951295307,0.7653640644002229
4,120,speed_cv_0.45,0.038654136529960956,2.4009263524724616,2.5546571217471925,1.0672256801420552,0.7653640644002229
4,120,t0_sigma_10ms,0.00012298291019760023,2.546594220240201,2.5546571217471925,0.7814689820357001,0.7653640644002229
4,120,t0_sigma_20ms,0.002080515899881969,2.5221358064901653,2.5546571217471925,0.8327410862082649,0.7653640644002229
4,180,speed_cv_0.15,0.0010575070525356365,3.069447197204938,3.0913437896858498,0.5170303676546926,0.48267918324131465
4,180,speed_cv_0.3,0.015255973036384865,3.005641493743154,3.0913437896858498,0.6225720633809573,0.48267918324131465
4,180,speed_cv_0.45,0.0657366791454867,2.905701211600787,3.0913437896858498,0.7988054326217746,0.48267918324131465
4,180,t0_sigma_10ms,3.180401380104193e-05,3.0875942390864077,3.0913437896858498,0.48851137416403567,0.48267918324131465
4,180,t0_sigma_20ms,0.0005280901098739261,3.0761551212311584,3.0913437896858498,0.5068876260208057,0.48267918324131465
4,260,speed_cv_0.15,0.0012681463153565095,3.3790498915538922,3.396778972069173,0.3329639638265185,0.3138351989461796
4,260,speed_cv_0.3,0.019697978367939316,3.3245431538537904,3.396778972069173,0.40190104861565423,0.3138351989461796
4,260,speed_cv_0.45,0.09071915622550392,3.232454961170613,3.396778972069173,0.5428613454522857,0.3138351989461796
4,260,t0_sigma_10ms,7.383429733087026e-06,3.3954399663289334,3.396778972069173,0.3152177209445064,0.3138351989461796
4,260,t0_sigma_20ms,0.00012215399997305733,3.3913547873388037,3.396778972069173,0.3195544422683252,0.3138351989461796
